food,Caloric Value,Carbohydrates,Protein,Fat,Sugars,Fiber,meal_type
2 rotis + chole (1 plate),450,70.0,14.0,10.0,4.5,9.0,dinner
2 rotis + rajma (1 plate),430,68.0,14.0,9.0,4.0,9.5,dinner
2 rotis + paneer sabzi (1 plate),450,60.0,16.0,14.0,4.0,7.0,dinner
2 rotis + chicken curry (1 plate),480,55.0,28.0,16.0,3.5,6.0,dinner
2 rotis + fish curry (1 plate),450,55.0,26.0,14.0,3.5,5.5,dinner
1 cup rice + dal + sabzi (1 plate),420,75.0,13.0,6.0,4.0,8.0,dinner
1 cup rice + sambar + poriyal (1 plate),380,70.0,11.0,5.0,5.0,6.0,dinner
1 cup rice + rasam + curd (1 plate),320,60.0,8.0,4.0,4.0,3.0,dinner
Vegetable biryani + raita (1 plate),450,75.0,10.0,10.0,5.0,5.0,dinner
Chicken biryani + raita (1 plate),500,70.0,22.0,13.0,4.5,4.0,dinner
Egg biryani + raita (1 plate),470,72.0,18.0,12.0,4.0,4.0,dinner
Prawn biryani + raita (1 plate),480,70.0,20.0,13.0,4.0,4.0,dinner
Khichdi + papad + pickle (1 plate),300,50.0,9.0,6.0,2.5,5.0,dinner
Quinoa khichdi + salad (1 plate),280,42.0,9.0,6.0,3.0,6.0,dinner
Oats khichdi + raita (1 plate),270,40.0,8.5,5.5,2.5,5.5,dinner
Missi roti + besan chilla + salad (1 plate),380,55.0,14.0,10.0,3.5,8.0,dinner
Stuffed paratha (1) + curd (1 bowl),320,42.0,8.0,12.0,3.0,5.0,dinner
Thepla (2) + chunda (1 tbsp) + curd,350,55.0,9.0,9.0,6.0,6.0,dinner
Roti + saag + makhan (light),380,55.0,10.0,11.0,3.0,8.0,dinner
Grilled salmon (6 oz) with steamed broccoli,400,10.0,40.0,22.0,2.0,3.0,dinner
Grilled chicken breast (6 oz) with quinoa (1 cup),450,35.0,45.0,12.0,2.5,4.0,dinner
"Beef steak (lean, 4 oz) with roasted potatoes",500,30.0,35.0,22.0,2.0,3.5,dinner
"Pork chop (lean, 4 oz) with apple sauce",420,20.0,30.0,22.0,8.0,2.0,dinner
Lamb chops (3 oz) with mint sauce and veggies,380,8.0,25.0,26.0,3.0,2.5,dinner
Roasted turkey breast (4 oz) with cranberry sauce,300,15.0,35.0,8.0,8.0,1.5,dinner
Baked salmon with dill and asparagus,380,5.0,38.0,22.0,2.0,2.5,dinner
Grilled shrimp skewers (8 pcs) with quinoa,350,25.0,30.0,12.0,2.0,3.0,dinner
Lobster tail (1) with butter (light) and salad,300,5.0,28.0,18.0,1.0,2.0,dinner
Scallops (6) with lemon butter sauce and veggies,280,8.0,25.0,15.0,2.0,2.0,dinner
"Spaghetti with meatballs (whole wheat, 1 cup)",420,55.0,22.0,12.0,6.0,6.0,dinner
"Fettuccine Alfredo (light, 1 cup)",380,45.0,15.0,14.0,4.0,3.0,dinner
"Lasagna (vegetable, light cheese, 1 piece)",350,40.0,16.0,12.0,6.0,5.0,dinner
"Lasagna (meat, light cheese, 1 piece)",400,38.0,22.0,16.0,5.0,4.0,dinner
Ravioli (whole wheat) with marinara (1 cup),320,50.0,14.0,7.0,5.0,5.0,dinner
Gnocchi with pesto (1 cup),350,52.0,8.0,12.0,2.0,3.0,dinner
"Mac and cheese (whole wheat, light, 1 cup)",300,42.0,12.0,10.0,5.0,3.5,dinner
Chicken parmesan (light) with spaghetti,450,48.0,32.0,14.0,6.0,4.0,dinner
Eggplant parmesan (baked) with salad,350,30.0,14.0,18.0,8.0,5.0,dinner
Vegetable stir‑fry with tofu (1 bowl),250,20.0,12.0,12.0,5.0,5.0,dinner
Chicken stir‑fry with broccoli (1 bowl),280,15.0,30.0,10.0,4.0,4.0,dinner
"Beef and broccoli (light sauce, 1 bowl)",300,12.0,32.0,12.0,3.0,3.0,dinner
Shrimp stir‑fry (1 bowl),260,14.0,28.0,9.0,4.0,3.5,dinner
Tofu and vegetable curry (1 bowl),220,18.0,12.0,10.0,4.0,4.0,dinner
Chickpea curry (1 bowl),220,30.0,8.0,7.0,5.0,7.0,dinner
Lentil soup with whole grain bread (1 bowl + 1 slice),250,40.0,12.0,4.0,4.0,8.0,dinner
Minestrone soup with bread (1 bowl + 1 slice),220,35.0,8.0,5.0,5.0,5.0,dinner
Tomato basil soup with grilled cheese (half sandwich),300,40.0,10.0,10.0,10.0,3.0,dinner
Pumpkin soup (1 bowl),120,18.0,3.0,4.0,6.0,3.0,dinner
"Broccoli cheddar soup (light, 1 bowl)",180,16.0,9.0,9.0,4.0,3.0,dinner
"French onion soup (light, 1 bowl)",120,12.0,5.0,4.0,5.0,1.5,dinner
"Clam chowder (light, 1 bowl)",160,18.0,9.0,6.0,3.0,1.5,dinner
Caesar salad with grilled chicken (light dressing),300,12.0,30.0,14.0,3.0,3.0,dinner
Greek salad with grilled shrimp,280,10.0,25.0,15.0,4.0,4.0,dinner
Cobb salad (light dressing),320,12.0,28.0,18.0,3.5,4.0,dinner
Nicoise salad (1 bowl),300,18.0,20.0,16.0,4.0,4.5,dinner
Caprese salad with balsamic (1 bowl),250,8.0,12.0,18.0,5.0,2.0,dinner
Quinoa salad with roasted veggies (1 bowl),280,38.0,8.0,10.0,5.0,6.0,dinner
Buddha bowl (1 bowl),350,45.0,12.0,12.0,6.0,8.0,dinner
"Sushi platter (12 pieces, assorted)",450,80.0,18.0,6.0,8.0,3.0,dinner
Sashimi platter (15 pieces),300,3.0,45.0,12.0,0.5,0.0,dinner
"Poke bowl (light sauce, 1 bowl)",380,45.0,25.0,10.0,5.0,4.0,dinner
"Burger (lean beef, whole wheat bun) with side salad",450,35.0,30.0,20.0,6.0,4.0,dinner
Veggie burger (whole wheat bun) with sweet potato fries,420,55.0,12.0,16.0,8.0,7.0,dinner
Chicken wrap (whole wheat) with side salad,380,40.0,28.0,12.0,5.0,5.0,dinner
Falafel wrap (whole wheat) with hummus,400,52.0,12.0,15.0,5.0,7.0,dinner
"Quesadilla (whole wheat, chicken/veggie) with salsa",360,40.0,20.0,14.0,4.0,5.0,dinner
"Tacos (2, soft corn tortilla, fish/chicken) with slaw",300,30.0,18.0,12.0,3.0,4.0,dinner
"Enchiladas (2, chicken, light cheese) with beans",400,45.0,25.0,14.0,5.0,6.0,dinner
Chili con carne (1 bowl) with cornbread,450,50.0,25.0,16.0,8.0,8.0,dinner
Vegetarian chili (1 bowl) with rice,350,55.0,12.0,8.0,6.0,9.0,dinner
Ratatouille (1 bowl) with quinoa,280,35.0,6.0,10.0,8.0,6.0,dinner
"Stuffed bell peppers (2 halves, quinoa/veg)",250,35.0,8.0,8.0,6.0,6.0,dinner
Portobello mushroom burger (1) with fries (baked),350,40.0,10.0,16.0,5.0,5.0,dinner
Cauliflower steak (1) with chimichurri,200,20.0,6.0,10.0,5.0,5.0,dinner
Zucchini noodles with pesto and cherry tomatoes,220,12.0,5.0,16.0,5.0,3.0,dinner
Spaghetti squash with marinara (1 cup),150,18.0,3.0,7.0,6.0,4.0,dinner
Mashed cauliflower (1 cup) with gravy,100,10.0,3.0,5.0,3.0,3.0,dinner
Roasted Brussels sprouts with bacon (1 cup),200,15.0,6.0,12.0,4.0,4.0,dinner
Grilled asparagus with parmesan (1 cup),120,6.0,6.0,8.0,2.0,3.0,dinner
Honey glazed carrots (1 cup),130,22.0,2.0,4.0,14.0,4.0,dinner
Green beans almondine (1 cup),150,10.0,3.0,10.0,4.0,4.0,dinner
"Creamed spinach (light, 1 cup)",160,10.0,6.0,10.0,3.0,3.5,dinner
"Mashed potatoes (with skim milk, 1 cup)",180,35.0,4.0,2.5,2.0,3.0,dinner
Sweet potato mash (1 cup),200,40.0,3.0,4.0,12.0,5.0,dinner
Roasted potatoes with rosemary (1 cup),180,28.0,3.0,6.0,1.5,3.0,dinner
Polenta (1 cup) with mushroom ragu,240,35.0,6.0,8.0,3.0,4.0,dinner
"Risotto (mushroom, light, 1 cup)",280,48.0,7.0,6.0,2.0,2.5,dinner
"Paella (seafood, 1 cup)",350,50.0,18.0,8.0,3.0,2.5,dinner
"Jambalaya (chicken, sausage, 1 cup)",320,40.0,18.0,10.0,4.0,2.5,dinner
"Gumbo (seafood, 1 cup)",250,20.0,15.0,12.0,3.0,2.5,dinner
"Bouillabaisse (fish stew, 1 bowl)",280,12.0,25.0,14.0,4.0,2.0,dinner
"Cioppino (seafood stew, 1 bowl)",300,15.0,28.0,14.0,4.0,2.5,dinner
"Shepherd's pie (light, 1 serving)",340,38.0,20.0,12.0,5.0,5.0,dinner
"Pot pie (chicken, light crust, 1 pie)",400,38.0,22.0,16.0,5.0,4.0,dinner
Meatloaf (lean turkey) with gravy (1 slice),280,12.0,25.0,14.0,4.0,2.0,dinner
Roasted chicken (1/4 chicken) with vegetables,350,10.0,35.0,18.0,3.0,3.0,dinner
Roasted turkey (4 oz) with gravy and stuffing (light),380,25.0,30.0,16.0,4.0,3.0,dinner
"Ham (lean, 4 oz) with pineapple salsa",250,10.0,25.0,10.0,6.0,1.0,dinner
Cornish hen (1/2 hen) with wild rice,400,30.0,30.0,16.0,2.0,2.5,dinner
Duck breast (4 oz) with cherry sauce,380,15.0,25.0,22.0,8.0,1.5,dinner
Venison steak (4 oz) with red wine reduction,300,5.0,35.0,12.0,2.0,1.0,dinner
"Bison burger (lean, whole wheat bun) with salad",400,30.0,35.0,16.0,4.0,4.0,dinner
Turkey burger (whole wheat bun) with sweet potato fries,420,45.0,30.0,14.0,6.0,5.0,dinner
Salmon burger (whole wheat bun) with dill sauce,380,30.0,28.0,16.0,4.0,3.0,dinner
"Fish and chips (baked, 1 serving)",380,45.0,22.0,12.0,3.0,4.0,dinner
Shrimp scampi with zucchini noodles,300,12.0,28.0,16.0,3.0,2.5,dinner
Lobster ravioli with light cream sauce,400,45.0,18.0,16.0,4.0,3.0,dinner
"Crab cakes (2, baked) with remoulade (light)",280,15.0,20.0,14.0,3.0,2.0,dinner
Mussels in white wine sauce (1 bowl) with bread,350,25.0,25.0,12.0,3.0,2.0,dinner
Clams in tomato sauce (1 bowl) with pasta,380,50.0,20.0,8.0,5.0,4.0,dinner
Oysters (6) grilled with spinach,200,8.0,16.0,10.0,1.0,1.5,dinner
"Ceviche (fish/shrimp, 1 cup) with tostada",220,20.0,20.0,6.0,3.0,2.0,dinner
Octopus salad (1 bowl),250,10.0,25.0,12.0,2.0,2.5,dinner
Grilled calamari (1 cup) with lemon,180,6.0,22.0,6.0,1.0,0.5,dinner
Escargot (6) with garlic butter (light),200,4.0,12.0,14.0,1.0,0.5,dinner
Foie gras (small portion) with toast,250,5.0,5.0,22.0,1.0,0.5,dinner
Steak tartare (4 oz) with salad,300,5.0,25.0,18.0,1.0,1.0,dinner
Beef Wellington (1 slice) with vegetables,450,25.0,25.0,26.0,3.0,2.5,dinner
Coq au vin (1 serving) with mashed potatoes,400,30.0,30.0,16.0,4.0,3.0,dinner
Beef bourguignon (1 serving) with noodles,450,35.0,30.0,18.0,4.0,3.0,dinner
Lamb tagine (1 bowl) with couscous,420,45.0,25.0,14.0,6.0,5.0,dinner
Chicken tagine (1 bowl) with quinoa,380,35.0,28.0,12.0,5.0,4.0,dinner
Vegetable tagine (1 bowl) with couscous,320,50.0,8.0,8.0,7.0,6.0,dinner
Apple (1 medium),95,25.0,0.5,0.3,19.0,4.5,snacks
Banana (1 medium),105,27.0,1.3,0.3,14.0,3.1,snacks
Orange (1 medium),62,15.0,1.2,0.2,12.0,3.0,snacks
Papaya (1 cup cubed),55,14.0,0.9,0.2,11.0,2.5,snacks
Mango (1 cup sliced),100,25.0,1.4,0.4,23.0,3.0,snacks
Pomegranate (1 cup arils),145,33.0,2.0,0.5,24.0,7.0,snacks
Guava (1 medium),70,15.0,2.0,0.5,9.0,6.0,snacks
Watermelon (1 cup diced),45,11.0,0.9,0.2,9.0,0.6,snacks
Muskmelon (1 cup diced),55,13.0,1.4,0.3,12.0,1.5,snacks
Grapes (1 cup),100,27.0,1.0,0.2,23.0,1.5,snacks
Strawberries (1 cup),50,12.0,1.0,0.5,7.0,3.0,snacks
Kiwi (1 medium),45,11.0,0.8,0.4,6.5,2.0,snacks
Pear (1 medium),100,27.0,0.6,0.2,17.0,5.5,snacks
Peach (1 medium),60,15.0,1.4,0.4,13.0,2.0,snacks
Plum (1 medium),30,8.0,0.5,0.2,6.5,1.0,snacks
Dates (2 pieces),110,30.0,1.0,0.2,27.0,3.0,snacks
Figs (2 dried),100,26.0,1.5,0.4,20.0,4.0,snacks
Raisins (1 tbsp),40,10.0,0.4,0.1,8.0,0.5,snacks
Apricots (4 dried),80,20.0,1.5,0.2,16.0,2.5,snacks
Prunes (3 pieces),70,18.0,0.8,0.1,11.0,2.0,snacks
Dried cranberries (1 tbsp),30,8.0,0.1,0.1,6.0,0.5,snacks
Dried cherries (1 tbsp),35,9.0,0.3,0.1,7.0,0.5,snacks
Dried mango (1 slice),60,15.0,0.5,0.2,13.0,1.0,snacks
Almonds (10 pieces),70,2.5,2.5,6.0,0.5,1.5,snacks
Walnuts (5 halves),65,1.5,1.5,6.5,0.3,1.0,snacks
Cashews (5 pieces),45,2.5,1.5,3.5,0.5,0.5,snacks
Pistachios (15 pieces),40,2.0,1.5,3.0,0.5,1.0,snacks
Peanuts (1 tbsp roasted),85,2.5,3.5,7.0,0.5,1.5,snacks
Pumpkin seeds (1 tbsp),50,1.5,2.5,4.0,0.2,0.8,snacks
Sunflower seeds (1 tbsp),50,2.0,2.0,4.5,0.2,1.0,snacks
Sesame seeds (1 tbsp),50,2.0,1.5,4.5,0.1,1.0,snacks
Flax seeds (1 tbsp ground),55,3.0,2.0,4.5,0.2,3.0,snacks
Chia seeds (1 tbsp),60,5.0,2.0,4.0,0.0,4.0,snacks
Hemp seeds (1 tbsp),55,1.5,3.0,4.5,0.2,1.0,snacks
Macadamia nuts (5 pieces),100,2.0,1.0,10.0,0.5,1.0,snacks
Plain yogurt (1 cup low‑fat),150,12.0,12.0,4.0,12.0,0.0,snacks
Greek yogurt (1 cup non‑fat),130,9.0,23.0,0.5,9.0,0.0,snacks
Cottage cheese (1/2 cup low‑fat),80,3.0,14.0,1.0,2.0,0.0,snacks
Paneer (1 oz low‑fat),70,1.0,7.0,4.0,0.5,0.0,snacks
Buttermilk (1 cup),100,12.0,8.0,2.5,12.0,0.0,snacks
"Lassi (sweet, 1 cup low‑fat)",150,22.0,6.0,3.0,20.0,0.0,snacks
Roasted chana (1/4 cup),110,16.0,6.0,2.5,1.0,4.0,snacks
Roasted makhana (1 cup),90,18.0,3.0,1.5,0.5,5.0,snacks
Roasted peanuts (1 tbsp),85,2.5,3.5,7.0,0.5,1.5,snacks
Roasted chickpeas (1/4 cup),120,20.0,5.0,2.0,2.0,5.0,snacks
Roasted soy nuts (1 tbsp),60,3.0,5.0,3.0,0.5,1.5,snacks
Roasted dal (1/4 cup),100,15.0,6.0,2.0,1.0,3.0,snacks
Roasted corn (1/2 cup),70,15.0,2.0,1.0,2.0,2.0,snacks
"Roasted fox nuts (makhana, spiced, 1 cup)",90,18.0,3.0,1.5,0.5,5.0,snacks
Roasted gram flour vermicelli (1/2 cup),120,20.0,4.0,2.5,1.0,2.0,snacks
Roasted whole wheat puffs (1 cup),60,12.0,2.0,0.5,0.2,2.0,snacks
Roasted brown rice flakes (1/2 cup),70,15.0,1.5,0.5,0.2,1.0,snacks
Roasted oats (1/2 cup),80,14.0,3.0,1.5,0.5,2.5,snacks
Sprouted moong salad (1 bowl),70,12.0,5.0,0.5,2.0,4.0,snacks
Sprouted moth salad (1 bowl),75,13.0,5.0,0.5,2.0,4.0,snacks
Sprouted chana salad (1 bowl),80,14.0,5.0,0.8,2.0,4.0,snacks
Kala chana chaat (1 bowl),120,18.0,5.0,2.5,3.0,5.0,snacks
Cucumber sticks with mint chutney (1 cup),30,6.0,1.0,0.2,2.0,1.5,snacks
Carrot sticks with hung curd dip (1 cup),50,8.0,2.0,1.0,4.0,2.0,snacks
Roasted beetroot chips (1 cup),60,12.0,1.5,0.5,8.0,2.5,snacks
Roasted sweet potato chips (1 cup),70,15.0,1.0,0.5,5.0,3.0,snacks
Baked khakhra (2 pieces),110,16.0,3.0,3.0,1.0,3.5,snacks
Multigrain thalipeeth (1 piece),130,20.0,4.0,3.5,1.5,4.0,snacks
Ragi mudde (1 small ball),100,20.0,2.5,0.5,0.2,3.0,snacks
"Jowar dhani (popped sorghum, 1 cup)",50,10.0,2.0,0.5,0.2,2.0,snacks
Sprouts bhel (1 cup),120,18.0,4.0,3.0,3.0,4.0,snacks
Oats chivda (1/2 cup),130,20.0,3.5,3.5,1.5,3.0,snacks
Poha chivda (1/2 cup),120,20.0,2.5,3.0,1.5,2.0,snacks
Roasted makhana chaat (1 cup),100,18.0,3.0,2.0,1.0,5.0,snacks
Roasted peanuts with onion and tomato (1/2 cup),120,6.0,5.0,8.0,2.0,2.5,snacks
Sprouted moong dhokla (2 pieces),110,16.0,5.0,2.5,1.5,3.0,snacks
"Vegetable cutlet (baked, 1 piece)",80,10.0,2.5,3.0,2.0,2.5,snacks
"Paneer tikka (2 pieces, grilled)",120,3.0,10.0,7.0,1.5,0.5,snacks
Coconut water (1 cup),45,9.0,1.5,0.5,6.0,2.0,snacks
Tender coconut flesh (1 tbsp),30,3.0,0.5,2.0,2.0,1.0,snacks
"Amla (gooseberry, 1 piece)",15,3.0,0.5,0.1,1.5,1.0,snacks
Jamun (1/2 cup),30,7.0,0.5,0.1,5.0,1.5,snacks
"Ber (Indian jujube, 5 pieces)",40,10.0,0.8,0.1,7.0,2.0,snacks
Sugarcane juice (1 cup),120,30.0,0.5,0.1,28.0,0.0,snacks
"Kokum sharbat (no sugar, 1 cup)",20,5.0,0.2,0.1,3.0,0.5,snacks
Apple (1 medium),95,25.0,0.5,0.3,19.0,4.5,snacks
Banana (1 medium),105,27.0,1.3,0.3,14.0,3.1,snacks
Orange (1 medium),62,15.0,1.2,0.2,12.0,3.0,snacks
Strawberries (1 cup),50,12.0,1.0,0.5,7.0,3.0,snacks
Blueberries (1 cup),85,21.0,1.1,0.5,15.0,4.0,snacks
Raspberries (1 cup),65,15.0,1.5,0.8,5.0,8.0,snacks
Blackberries (1 cup),60,14.0,2.0,0.5,7.0,8.0,snacks
Grapefruit (1/2),40,10.0,0.8,0.1,8.0,1.5,snacks
Pineapple (1 cup),80,21.0,1.0,0.2,16.0,2.5,snacks
Mango (1 cup),100,25.0,1.4,0.4,23.0,3.0,snacks
Raisins (1 tbsp),40,10.0,0.4,0.1,8.0,0.5,snacks
Dried apricots (4 pieces),80,20.0,1.5,0.2,16.0,2.5,snacks
Dates (2 pieces),110,30.0,1.0,0.2,27.0,3.0,snacks
Prunes (3 pieces),70,18.0,0.8,0.1,11.0,2.0,snacks
Dried figs (2 pieces),100,26.0,1.5,0.4,20.0,4.0,snacks
Almonds (10 pieces),70,2.5,2.5,6.0,0.5,1.5,snacks
Walnuts (5 halves),65,1.5,1.5,6.5,0.3,1.0,snacks
Cashews (5 pieces),45,2.5,1.5,3.5,0.5,0.5,snacks
Pistachios (15 pieces),40,2.0,1.5,3.0,0.5,1.0,snacks
Peanuts (1 tbsp roasted),85,2.5,3.5,7.0,0.5,1.5,snacks
Pumpkin seeds (1 tbsp),50,1.5,2.5,4.0,0.2,0.8,snacks
Sunflower seeds (1 tbsp),50,2.0,2.0,4.5,0.2,1.0,snacks
Chia seeds (1 tbsp),60,5.0,2.0,4.0,0.0,4.0,snacks
Flax seeds (1 tbsp ground),55,3.0,2.0,4.5,0.2,3.0,snacks
Hemp seeds (1 tbsp),55,1.5,3.0,4.5,0.2,1.0,snacks
Greek yogurt (1 cup non‑fat),130,9.0,23.0,0.5,9.0,0.0,snacks
Cottage cheese (1/2 cup low‑fat),80,3.0,14.0,1.0,2.0,0.0,snacks
String cheese (1 piece),80,1.0,8.0,5.0,0.5,0.0,snacks
Cottage cheese with pineapple (1/2 cup),100,8.0,10.0,2.0,6.0,0.5,snacks
Yogurt drink (1 cup low‑fat),120,18.0,8.0,2.0,16.0,0.0,snacks
Carrot sticks (1 cup),50,12.0,1.0,0.3,6.0,3.5,snacks
Celery sticks (1 cup),15,3.0,0.7,0.2,1.5,1.5,snacks
Bell pepper strips (1 cup),30,6.0,1.0,0.3,4.0,2.0,snacks
Cucumber slices (1 cup),15,3.0,0.5,0.2,1.5,1.0,snacks
Cherry tomatoes (1 cup),30,6.0,1.5,0.3,4.0,2.0,snacks
Broccoli florets (1 cup raw),30,6.0,2.5,0.3,1.5,2.5,snacks
Cauliflower florets (1 cup raw),25,5.0,2.0,0.3,2.0,2.0,snacks
Sugar snap peas (1 cup),40,7.0,2.5,0.2,3.0,2.5,snacks
Hummus (2 tbsp),70,4.0,2.0,5.0,0.5,1.5,snacks
Guacamole (2 tbsp),50,3.0,0.7,4.5,0.5,2.0,snacks
Peanut butter (1 tbsp natural),95,3.0,4.0,8.0,1.5,1.0,snacks
Almond butter (1 tbsp),98,3.0,3.0,9.0,1.0,1.5,snacks
Tzatziki (2 tbsp),30,2.0,1.5,2.0,1.5,0.5,snacks
Air‑popped popcorn (3 cups),90,18.0,3.0,1.0,0.2,3.5,snacks
"Rice cakes (2 cakes, brown rice)",70,14.0,1.5,0.5,0.2,0.5,snacks
Whole grain crackers (5 pieces),100,16.0,2.0,3.0,1.0,2.0,snacks
Oatcakes (2 pieces),80,14.0,2.0,2.0,1.0,2.0,snacks
"Trail mix (1 oz, no candy)",130,12.0,4.0,8.0,5.0,2.5,snacks
"Granola bar (healthy, 1 bar)",120,18.0,3.0,4.0,6.0,2.0,snacks
"Protein bar (1 bar, clean ingredients)",200,20.0,15.0,8.0,5.0,3.0,snacks
Roasted chickpeas (1/4 cup),120,20.0,5.0,2.0,2.0,5.0,snacks
Edamame (1/2 cup shelled),95,7.0,8.0,4.0,2.0,4.0,snacks
Roasted seaweed snacks (1 pack),30,4.0,2.0,1.0,0.0,1.0,snacks
"Berry smoothie (1 cup, no sugar)",120,25.0,3.0,1.5,15.0,4.0,snacks
"Green smoothie (1 cup, spinach, apple)",100,22.0,3.0,1.0,12.0,4.0,snacks
"Protein smoothie (1 cup, whey, fruit)",180,20.0,20.0,2.0,10.0,3.0,snacks
"Mango lassi (light, 1 cup)",140,22.0,5.0,3.0,18.0,1.0,snacks
Hard‑boiled egg (1),70,0.5,6.0,5.0,0.5,0.0,snacks
"Dark chocolate (70%+, 1 square)",50,3.0,0.8,3.5,1.5,1.0,snacks
"Apple sauce (unsweetened, 1/2 cup)",50,13.0,0.2,0.1,10.0,1.5,snacks
